"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 17, 2021","16.82","16.82","16.82","16.82","-","-1.41%"
"Feb 16, 2021","17.06","17.06","17.06","17.06","-","0.77%"
"Feb 15, 2021","16.93","16.93","16.93","16.93","-","-0.65%"
"Feb 12, 2021","17.04","17.04","17.04","17.04","-","-0.41%"
"Feb 11, 2021","17.11","17.11","17.11","17.11","-","0.65%"
"Feb 10, 2021","17.00","17.00","17.00","17.00","-","0.18%"
"Feb 09, 2021","16.97","16.97","16.97","16.97","-","-0.47%"
"Feb 08, 2021","17.05","17.05","17.05","17.05","-","-0.64%"
"Feb 05, 2021","17.16","17.16","17.16","17.16","-","-1.27%"
"Feb 04, 2021","17.38","17.38","17.38","17.38","-","-0.06%"
"Feb 03, 2021","17.39","17.39","17.39","17.39","-","-0.40%"
"Feb 02, 2021","17.46","17.46","17.46","17.46","-","0.69%"
"Feb 01, 2021","17.34","17.34","17.34","17.34","-","2.12%"
"Jan 29, 2021","16.98","16.98","16.98","16.98","-","-0.06%"
"Jan 28, 2021","16.99","16.99","16.99","16.99","-","0.41%"
"Jan 27, 2021","16.92","16.92","16.92","16.92","-","-0.35%"
"Jan 26, 2021","16.98","16.98","16.98","16.98","-","-1.22%"
"Jan 25, 2021","17.19","17.19","17.19","17.19","-","-0.46%"
"Jan 22, 2021","17.27","17.27","17.27","17.27","-","1.17%"
"Jan 21, 2021","17.07","17.07","17.07","17.07","-","1.91%"
"Jan 20, 2021","16.75","16.75","16.75","16.75","-","-0.30%"
"Jan 19, 2021","16.80","16.80","16.80","16.80","-","0.42%"
"Jan 18, 2021","16.73","16.73","16.73","16.73","-","0.06%"
"Jan 15, 2021","16.72","16.72","16.72","16.72","-","-0.59%"
"Jan 14, 2021","16.82","16.82","16.82","16.82","-","-0.71%"
"Jan 13, 2021","16.94","16.94","16.94","16.94","-","-1.34%"
"Jan 12, 2021","17.17","17.17","17.17","17.17","-","-0.06%"
"Jan 11, 2021","17.18","17.18","17.18","17.18","-","-1.72%"
"Jan 08, 2021","17.48","17.48","17.48","17.48","-","4.30%"
"Jan 07, 2021","16.76","16.76","16.76","16.76","-","0.24%"
"Jan 06, 2021","16.72","16.72","16.72","16.72","-","-0.42%"
"Jan 05, 2021","16.79","16.79","16.79","16.79","-","-3.39%"
"Jan 04, 2021","17.38","17.38","17.38","17.38","-","-3.28%"
"Dec 31, 2020","17.97","17.97","17.97","17.97","-","3.81%"
"Dec 30, 2020","17.31","17.31","17.31","17.31","-","-1.48%"
"Dec 29, 2020","17.57","17.57","17.57","17.57","-","-0.73%"
"Dec 28, 2020","17.70","17.70","17.70","17.70","-","-1.23%"
"Dec 25, 2020","17.92","17.92","17.92","17.92","-","14.29%"
"Dec 24, 2020","15.68","15.68","15.68","15.68","-","2.22%"
"Dec 23, 2020","15.34","15.34","15.34","15.34","-","-0.90%"
"Dec 22, 2020","15.48","15.48","15.48","15.48","-","1.51%"
"Dec 21, 2020","15.25","15.25","15.25","15.25","-","0.33%"
"Dec 18, 2020","15.20","15.20","15.20","15.20","-","1.13%"
"Dec 17, 2020","15.03","15.03","15.03","15.03","-","-0.07%"
"Dec 16, 2020","15.04","15.04","15.04","15.04","-","-2.46%"
"Dec 15, 2020","15.42","15.42","15.42","15.42","-","-1.72%"
"Dec 14, 2020","15.69","15.69","15.69","15.69","-","-1.57%"
"Dec 11, 2020","15.94","15.94","15.94","15.94","-","9.63%"
"Dec 10, 2020","14.54","14.54","14.54","14.54","-","2.11%"
