"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 09, 2021","1,432.45","1,449.30","1,450.84","1,414.43","1.96B","-1.32%"
"Apr 08, 2021","1,451.63","1,457.94","1,465.64","1,450.26","1.41B","-0.17%"
"Apr 07, 2021","1,454.08","1,453.29","1,457.10","1,435.99","1.90B","0.07%"
"Apr 06, 2021","1,453.04","1,471.28","1,474.67","1,451.29","1.74B","-1.33%"
"Apr 05, 2021","1,472.68","1,458.89","1,474.09","1,458.06","1.62B","0.65%"
"Apr 02, 2021","1,463.15","1,472.27","1,474.00","1,456.96","1.30B","-0.09%"
"Apr 01, 2021","1,464.43","1,436.21","1,464.43","1,436.21","2.09B","2.36%"
"Mar 31, 2021","1,430.65","1,432.42","1,439.22","1,424.09","1.57B","-0.08%"
"Mar 30, 2021","1,431.85","1,430.91","1,439.92","1,408.22","2.08B","-0.01%"
"Mar 29, 2021","1,431.93","1,424.34","1,439.02","1,420.07","2.02B","0.72%"
"Mar 26, 2021","1,421.64","1,445.06","1,447.03","1,395.63","2.04B","-0.60%"
"Mar 25, 2021","1,430.18","1,450.25","1,466.03","1,429.21","2.24B","-1.21%"
"Mar 24, 2021","1,447.65","1,412.69","1,456.87","1,405.23","3.02B","1.90%"
"Mar 23, 2021","1,420.72","1,381.16","1,443.97","1,301.81","4.31B","-0.84%"
"Mar 22, 2021","1,432.76","1,552.54","1,552.54","1,432.61","1.43B","-9.95%"
"Mar 19, 2021","1,591.00","1,622.41","1,624.65","1,580.34","2.02B","-2.14%"
"Mar 18, 2021","1,625.72","1,631.78","1,647.37","1,623.65","2.44B","-0.16%"
"Mar 17, 2021","1,628.35","1,641.81","1,655.47","1,628.20","1.78B","-0.83%"
"Mar 16, 2021","1,641.90","1,634.59","1,645.34","1,632.74","1.38B","0.67%"
"Mar 15, 2021","1,631.00","1,638.14","1,641.29","1,628.65","1.35B","-0.51%"
"Mar 12, 2021","1,639.38","1,638.91","1,645.71","1,631.53","1.74B","0.05%"
"Mar 11, 2021","1,638.53","1,656.32","1,661.60","1,633.34","2.08B","-0.65%"
"Mar 10, 2021","1,649.32","1,635.43","1,649.89","1,632.94","1.88B","0.82%"
"Mar 09, 2021","1,635.86","1,628.86","1,641.01","1,622.66","1.94B","1.24%"
"Mar 08, 2021","1,615.87","1,636.56","1,640.56","1,613.66","2.51B","-0.93%"
"Mar 05, 2021","1,631.05","1,620.22","1,635.70","1,612.43","2.32B","0.37%"
