"Date","Price","Open","High","Low","Change %"
"Feb 22, 2021","8.5253","8.4379","8.6080","8.4288","1.11%"
"Feb 19, 2021","8.4319","8.4247","8.4831","8.4179","0.25%"
"Feb 18, 2021","8.4112","8.3949","8.4622","8.3507","0.27%"
"Feb 17, 2021","8.3882","8.4636","8.5264","8.3758","-0.81%"
"Feb 16, 2021","8.4569","8.4456","8.5017","8.3799","0.21%"
"Feb 15, 2021","8.4391","8.5301","8.5339","8.4199","-0.96%"
"Feb 12, 2021","8.5213","8.5219","8.5491","8.4774","0.04%"
"Feb 11, 2021","8.5181","8.5576","8.5766","8.5072","-0.32%"
"Feb 10, 2021","8.5452","8.5619","8.5971","8.5238","-0.08%"
"Feb 09, 2021","8.5523","8.5198","8.6229","8.5177","0.45%"
"Feb 08, 2021","8.5144","8.4942","8.5706","8.4524","0.31%"
"Feb 05, 2021","8.4882","8.5392","8.5564","8.4528","-0.52%"
"Feb 04, 2021","8.5329","8.6191","8.6328","8.5068","-0.92%"
"Feb 03, 2021","8.6120","8.6673","8.6804","8.5690","-0.55%"
"Feb 02, 2021","8.6595","8.6757","8.6877","8.5574","-0.10%"
"Feb 01, 2021","8.6684","8.8803","8.8847","8.6334","-2.29%"
"Jan 29, 2021","8.8713","8.8979","8.9435","8.8197","-0.18%"
"Jan 28, 2021","8.8876","8.9576","8.9944","8.8888","-0.71%"
"Jan 27, 2021","8.9515","8.9351","8.9862","8.9052","0.26%"
"Jan 26, 2021","8.9283","8.9930","9.0219","8.9032","-0.64%"
"Jan 25, 2021","8.9862","9.0220","9.0468","8.9565","-0.34%"
"Jan 22, 2021","9.0165","8.9630","9.0530","8.9588","0.68%"
"Jan 21, 2021","8.9556","8.9850","9.0186","8.9200","-0.24%"
"Jan 20, 2021","8.9774","9.0649","9.0830","8.9385","-0.88%"
"Jan 19, 2021","9.0570","9.0365","9.0777","8.9826","0.31%"
"Jan 18, 2021","9.0290","9.0339","9.1166","9.0016","0.03%"
"Jan 15, 2021","9.0263","8.9601","9.1037","8.9235","0.75%"
"Jan 14, 2021","8.9589","9.0044","9.0656","8.9109","-0.33%"
"Jan 13, 2021","8.9882","9.0996","9.1339","8.9829","-1.13%"
"Jan 12, 2021","9.0905","9.0874","9.1417","9.0257","0.12%"
"Jan 11, 2021","9.0793","9.0115","9.1496","8.9643","0.81%"
"Jan 08, 2021","9.0063","8.9836","9.0724","8.9568","0.34%"
"Jan 07, 2021","8.9754","9.0066","9.0772","8.8779","-0.31%"
"Jan 06, 2021","9.0030","9.0875","9.1098","8.9295","-0.86%"
"Jan 05, 2021","9.0813","9.0932","9.1293","9.0395","-0.07%"
"Jan 04, 2021","9.0878","9.0989","9.1257","8.9916","0.02%"
"Jan 01, 2021","9.0862","9.0862","9.0862","9.0862","0.10%"
"Dec 31, 2020","9.0767","9.0788","9.2115","9.0331","0.07%"
"Dec 30, 2020","9.0705","9.0470","9.0935","8.9521","0.34%"
"Dec 29, 2020","9.0401","9.0975","9.1566","8.9887","-0.59%"
"Dec 28, 2020","9.0936","9.2217","9.2582","9.0410","-1.27%"
"Dec 25, 2020","9.2104","9.2374","9.2745","9.1672","-0.21%"
"Dec 24, 2020","9.2298","9.3130","9.3709","9.2009","-0.80%"
